numeroFissazioni,startTime,duration,position_x,position_y,position_z
67,36.95565,0.05006800000000311,0.43830241243295087,0.5638223923247153,322.83298286608715
68,37.025771,0.040072000000002106,0.41736306819195235,0.5894929946643004,204.05696587317
69,37.125936,0.31058399999999864,0.4603803206051037,0.5830697378218638,572.7972438757068
70,37.546713,0.05009800000000553,0.4204991466579756,0.5231713253190444,237.9450588752335
71,37.696937,0.03008700000000175,0.43475358951546744,0.5337563412672176,337.6780827350553
72,38.257952,0.08014499999999458,0.41179741618847204,0.5087942755633375,216.83187884935802
73,38.418243,0.020090000000003272,0.41858455119571114,0.5119475338900268,240.56470293868952
74,39.309903,0.020020999999999844,0.33113137717655655,0.5569041653650817,291.58496567906326
75,39.390048,0.08014500000000169,0.3176992922740137,0.5658153119867464,294.2218707134115
76,39.490214,0.020051999999999737,0.30600749893267815,0.5742165918147277,287.96883267246744
